URL,Title,Address,Description,Compensation,Employment Type
https://newyork.craigslist.org/mnh/egr/6177104566.html,Interior Design Project Manager - Retail,Flatiron,"
        
Ware Malcomb is hiring an Interior Design Project Manager, Retail in our New York City office!

Project Managers manage the successful completion of multiple Interior Design projects while providing excellent client service and leadership and guidance to project team.

Interior Design Project Manager candidates must have:
•8+ years of experience working on corporate office and commercial interior design projects with a specific emphasis on retail projects.
•Must have a BA/BS in interior design or architecture.
•Certified Interior Designer / NCIDQ certified or licensed architect
•Knowledge of CAD and Revit
•Experience working directly with clients from business development, presentation, negotiation and project completion.

Ware Malcomb is an international design firm offering integrated services to clients throughout the world.  Founded in 1972, Ware Malcomb offers planning, architecture, interior design, civil engineering, branding and sustainable design services to diverse clients.

Ware Malcomb offers the best of both worlds, a small office supportive and nurturing work environment with large company amenities and resources which provides amazing opportunity for internal growth.  Ware Malcomb offers a whole life balance, health-focused company culture, competitive salary and overall benefits package.

**Must be legally authorized to work in the United States**

Submit resume:     ",Based on experience; provide current or previous salary.,full-time
https://newyork.craigslist.org/mnh/egr/6177840705.html,Multi-Unit Construction Project Director (growing company),Manhattan,"
        















    ",Salary + Benefits + 401k + PTO,full-time
https://newyork.craigslist.org/mnh/egr/6178388611.html,Architect Intern,Financial District,"
        
A small firm specializing in commercial office, multi-family, recording studios, and light industrial work, seeks a current student or recent graduate of an accredited architecture school to work part-time over the summer, and potentially longer. The position will provide exposure to many stages of project development and project types. 

All applicants must be AutoCAD and Photoshop proficient. Revit, Sketchup, and any other 3D software skills a plus. 

The office is located in the financial district in Manhattan.

Compensation includes a Paid Monthly Metrocard and a monthly stipend. Intern will work under the direction of a Licensed Architect, and will satisfy a range of experience requirements required by NCARB's IDP Architect Intern program.
Interested Candidates should reply to this email with resume and portfolio, limited to 5 MB.
    ",Stipend / $600/mo,contract
https://newyork.craigslist.org/brk/egr/6178423703.html,Professional wanted,NYC,"
        
Looking for design professionals within the architectural and engineering industry for the purpose of navigating drawings and plans from concept to realization for review and filing with municipal agencies    ",Per Project Basis.,contract
https://newyork.craigslist.org/mnh/egr/6178483559.html,Project Architect,New York,"
        
Ware Malcomb is hiring a Project Architect in our New York City office located in the Flatiron district.


Project Architect candidates must have

-5+ years of experience managing commercial and/or industrial architecture projects
-Ability to lead projects from beginning to completion
-Experience with budgets and proposals 
-Experience working directly with clients
-Excellent communication skills
-Ability to be a team player and work independently
-Good CAD and Revit skills 
-Great personality
-Licensed Architect

Ware Malcomb is an international design firm offering integrated services throughout the world. Founded in 1972, Ware Malcomb offers planning, architecture, interior design, branding, civil engineering, and sustainable design services to diverse clients.

Ware Malcomb offers the best of both worlds, a small office supportive and nurturing work environment with large company amenities and resources which provides amazing opportunity for internal growth.  Ware Malcomb offers a whole life balance, health-focused company culture, competitive salary and overall benefits package.

**Must be able to legally work in the United States**

Submit resume:     ",Based on experience please provide current or previous salary,full-time
https://newyork.craigslist.org/mnh/egr/6178521596.html,Architecture Project Manager,New York,"
        
Ware Malcomb is hiring an Architecture Project Manager in our New York City office located in the Flatiron district.
  
Project Managers are responsible for the successful management of multiple architecture projects.

Project manager candidates must have:

-7+ years of experience managing commercial architecture projects 
-Excellent communication skills - able to listen to clients needs and communicate needs and direction to consultants and staff
-Ability to be a team player and work independently
-AutoCAD and Revit proficiency required
-Great attitude, ready to hit the ground running

Ware Malcomb is an international design firm offering integrated services to clients throughout the world. Founded in 1972, Ware Malcomb offers planning, architecture, interior design, civil engineering, branding and sustainable design services to diverse clients.

Ware Malcomb offers the best of both worlds, a small office supportive and nurturing work environment with large company amenities and resources which provides amazing opportunity for internal growth.  Ware Malcomb offers a whole life balance, health-focused company culture, competitive salary and overall benefits package.

**Must be legally authorized to work in the United States**    ",Based on experience please provide current or previous salary,full-time
https://newyork.craigslist.org/mnh/egr/6167163688.html,Project Manager for Construction Company,Midtown,"
        
Project manager who can handle NYC commercial and Hospitality build outs with super detailed high end finishes. Must be able to handle multiple jobs and control subs and in house labor to complete projects on time.    ",Based on experience,full-time
https://newyork.craigslist.org/wch/egr/6167532615.html,Assistant Construction Superintendent,"White Plains, NY","
        
We are looking for a dedicated and experienced Construction Superintendent to join our team. We are pursuing a team player that is not afraid to take the initiative while accepting the responsibility and commitment it takes to deliver a first class product. We build majestic homes and will need a person who takes pride in his/her work

Do you have sincere interest in becoming part of a dynamic and growing construction team?

We are looking for a detail-oriented Construction Superintendent capable of overseeing the management and coordination of high-end Residential Projects. 

The ideal candidate must be organized, punctual and must be able to manage time efficiently. We are looking for someone who can get the job done on time and within the budget. 

***Minimum 7 Years of High-End Residential Construction***

*Please attach a resume and brief cover letter 

Responsibilities: 
• Oversee and direct all phases of construction work at project jobsite.
• Understand phases of design/architecture and construction
• Review the master schedule with the Project Management personnel, highlighting changes or potential problems. 
• Analyzing plans and specifications in order to create RFP's/RFQ's/RFI's, etc.
• Determine and order tools, equipment and materials according to project requirements and oversee the maintenance and protection
• Able to understand and manage budgets, schedules and estimates 
• Read blueprints and plans and understand sequence of construction

Qualifications 
• Experience in managing the construction process 
• Experience in new construction/new ground-up construction with high-end residential projects
• Proficient in Excel 
• QuickBooks, AutoCad, BuilderTrend a plus 
• Excellent team and communication skills
• 7 years of full time experience in the construction industry working in high-end residential construction 
• Architectural background a plus 
• OSHA Safety training 
• Must have own transportation 
• Detail-oriented and good communication skills
    ","$75,000-125,000",full-time
https://newyork.craigslist.org/lgi/egr/6167585328.html,Senior Design Architect,,"
        
A sophisticated, luxury residential architecture firm is looking for a Senior Design Architect to join their office in the Hamptons. The firm's work has received numerous national and international design awards. The ideal candidate should have 8+ years of professional work experience, preferably in the residential sector geared towards private, modern homes. Project management skills are beneficial for this type of role. This is a significant position for the 12-person company - it is a great chance for a talented architect to take on fresh, exciting and inspiring projects locally and nationally.    ","$90,000 - $120,000",full-time
https://newyork.craigslist.org/brk/egr/6167709316.html,Junior Architect with 1 - 2 yrs experience,Gowanus,"
        
We are a 14-person architecture and interiors firm that specializes in highly customized residential and commercial projects in Brooklyn and Manhattan. We are seeking a talented and personable junior architect to add to our growing team. This is a great opportunity to become part of a widely-published Brooklyn firm. Please visit elizabethroberts.com to view our projects. 

This position is full time

Requirements: 

Professional degree in Architecture
1 - 2 years of post-graduate experience
Experience using AutoCAD in a professional setting
Proficiency in Adobe Creative Suite & Rhino
Some experience with construction documents required

Experience with residential projects in NYC a plus
Understanding of NYC zoning and building codes a plus
3-D modeling on Rhino and free-hand drawing abilities a plus

Your application will only be considered if you meet the above requirements and only if you reply to this Craigslist ad with your resume and portfolio of work samples. 

    ",Commensurate with experience,full-time
https://newyork.craigslist.org/mnh/egr/6167845051.html,"MGMT Co. Looking for RA to do various Jobs on 9 Props: Parapet, Permit",East Village,"
        
Goof afternoon, we are a Manhattan management looking to do work on several of the 9 buildings we own.

We are looking to establish a relationship with a quality architect that we can come back to for the many and varied jobs that we are constantly doing.

We are very active in the upkeep of our buildings and are looking for someone with vast knowledge of City Code.

Our first project is a alteration of the design and pulling the permits for a Parapet Wall in the East Village as well as the Sidewalk Bridge.

Looking forward to hearing from you!    ",To be discussed based on job and experience,contract
https://newyork.craigslist.org/jsy/egr/6167653521.html,Senior Architect / Project Manager,,"
        
An New Jersey based, Architect 50 listed and award winning design firm is looking to hire a Senior Architect to act as a Project Manager/Lead Architect.  This award-winning firm is extremely competitive and has developed a reputation for producing refined, high-quality cultural and higher education projects all across the US. The ideal candidate will have over ten years of professional experience, hold a degree in architecture and be actively pursuing or have achieved professional accreditation and licensure.  You must have proven experience in delivery of projects within a design firm, be a great communicator with the ability to mentor junior staff members.  This is an opportunity for someone to be part of a fantastic design firm with a growing reputation.    ","$90,000 - $120,000",full-time
https://newyork.craigslist.org/mnh/egr/6167862391.html,Architectural Firm Seeking Interior Design Intern,Upper West Side,"
        
We are a small, high-end architectural design firm seeking a part-time Interior Design intern for June, July, and August; 2-3 days per week.  This is an unpaid, entry level position, with great opportunity for an interior design student looking to gain valuable field experience.  Transportation will be reimbursed.  

Duties Include:
Answer Phones
Send/Receive Mailings
Order/Maintain Supplies
File as Needed
Maintain Sample Department 
Create Invoices/Proposals
Assist Staff as Needed

Required Skills:
Professionalism
Ability to Multi-Task
Great Organizational Skills
Currently Studying Architectural / Interior Design 
Microsoft Office
Auto-Cad, SketchUp, Photoshop experience a plus! 
Portfolio a plus!

No phone calls, please. 
Email cover letter, resume, and portfolio (if available).
    ",0.00,part-time
https://newyork.craigslist.org/mnh/egr/6167899257.html,Draftsperson Detailer,Long Island City,"
        
Display and wood cabinetry manufacturing company seeking motivated and
responsible individual to fill the position of Draftsperson Detailer. 



Must be experienced and proficient in 3D rendering.

Experience in creating CNC files required. 


Must also be skilled with drafting decorative patterns, intricate millwork
and heavily sculpted three dimensional elements for production. 



Candidate must be familiar with materials such as solid wood, plywood,
plastic, metal fabrication and veneer work. 



Must submit portfolio with application, no candidate without portfolio will
be considered!



Hours are Monday through Friday 8:30 AM - 5:30 PM and must be available for
overtime, working until 8:30 PM and weekends at times.
•	Principals only. Recruiters, please don't contact this job poster.
•	do NOT contact us with unsolicited services or offers


    ",tbd,full-time
https://newyork.craigslist.org/stn/egr/6167923484.html,Asphalt Plant Manager,Staten Island,"
        
The Asphalt Operations Manager is responsible for working with the Plant Superintendent/Foreperson to ensure safe and efficient operations.

Key Responsibilities (Essential Duties and Functions)

  -  Must be able to maintain daily operations
  -  Study and follow all applicable regulations (including MSHA and OSHA) affecting asphalt production, safety, environmental, state, federal and company policies; ensure observance and compliance of such regulations
  -  Conduct tool-box talks and ensure Forepersons do the same
  -  Ensure compliance with all facility permits and environmental regulations mandated by federal, state or local governing bodies
  -  Provide accurate and timely preparation of paperwork: daily reports, reports, accident reports, timecards, etc
  -  Display a professional and courteous attitude to co-workers, supervisors, and the general public at all times
  -  Must be willing to travel and work away from home when required
  -  Must be willing to work nights and weekends when necessary
  -  Strict adherence to safety requirements and procedures as outlined in the Environmental, Health & Safety Manual
  -  Willingness to work in a team environment and assist co-workers or supervisors with other duties as required
  -  Must possess a valid driver's license. CDL license a Plus!

Knowledge/Skill Requirements

  -  Must possess and have working knowledge to complete necessary mathematical calculations.
  -  Must be proficient in the use of a computer to communicate and analyze data.  This includes, but is not limited to, the use of Outlook, MS Office programs, construction software and web-based programs.
  -  Be familiar with all roles, equipment and tasks associated with your project(s) and have the ability and willingness to fill in any role or task as necessary.
  -  Working knowledge of all applicable regulations (including MSHA and OSHA) affecting asphalt plant production, safety, environmental, state, federal and company policies; ensure observance and compliance of such regulations.

Required Education:

  -  High school or equivalent

Required Experience:

  -  Asphalt Plant Manager: 5 years

Required License or Certification:

  -  Valid Driver's License
  -  10 hour OSHA card    ",TBD,full-time
https://newyork.craigslist.org/mnh/egr/6168050466.html,Project Architect,TriBeCa,"
        
Surface Design is seeking a project architect with strong leadership and interpersonal skills to be our Director of Business Development and Operations in our Tribeca office. Our company specializes in the exterior envelope for both new construction, existing buildings and landmark restoration. We work on interesting projects for great clients and have over 30 architects and growing.  You will work closely with management on project administration including marketing initiatives, proposals, billing, architectural services and accounts receivable.

Responsibilities include:
•	Operations: producing financial and staffing reports using Ajera software, coordinating with bookkeeper to maintain financial records, reviewing employee timesheets, assisting management and tracking accounts receivable.
•	Project Administration: Monitoring budgets against billing, administrating change orders, coordinating new project contract review and invoicing.
•	Business Development: reviewing new business opportunities (RFPs, etc), drafting and tracking proposals and updating firm marketing materials.
•	Human Relations: hiring and managing benefits
•	Preference given to candidates who can also consult with our staff on exterior projects

Salary and benefits commensurate with experience

Proficiency with AutoCAD, Ajera and Excel is desired
Architectural Degree with over 5 years of experience
    ",Salary commensurate with experience,full-time
https://newyork.craigslist.org/mnh/egr/6168008416.html,Intermediate Architect,Flatiron,"
        
Nelligan White Architects PLLC is seeking to hire intermediate architects with 3-5 years experience. This is an opportunity to be involved in all aspects of the work, including all phases of our projects. An interest in the challenging public-sector work is highly desirable.

Ideal applicants will demonstrate the following attributes:

- Highly motivated
- The ability to work independently and as part of a team
- Exemplary verbal and written communication
- Previous work experience with all phases of design and construction administration
- Be a conceptual thinker with strong technical skills (design and drawing)
- The ability to work efficiently in a fast-paced environment
- Has completed or is interested in completing IDP

Located in the heart of the Flatiron District, Nelligan White Architects is a 30-person firm with diverse clients and committed coworkers. Our talented staff is dedicated to producing high-caliber work in both the public and private sectors.

Nelligan White offers a competitive salary and excellent benefits package. Interested candidates must email a cover letter, resume, and work samples as one PDF. Please reference CI-04 at top of your cover letter. No phone calls please.
    ",Compensation based on experience.,full-time
https://newyork.craigslist.org/que/egr/6168039888.html,AutoCAD Draftsman Needed,Maspeth,"
        
Experienced autoCAD draftsman needed for busy office in Maspeth, Queens.
Must be comfortable coordinating large projects, communicating with building engineers and architects and leading a team.
Knowledge of autoCAD is REQUIRED. 
Bilingual a plus but not required.
    ",Dependent on Experience,full-time
https://newyork.craigslist.org/stn/egr/6167930300.html,Construction Project Manager,Staten Island,"
        
General Contractor is seeking an experienced Project Manager and Estimator responsible for the oversight and management of construction projects in our Staten Island Office.

Job Responsibilities include:

Light Estimating
Lead Project Meetings
Ability to read and understand blueprints
Familiarity with New York Construction Estimating and bidding processes
Must have excellent Microsoft Excel & Microsoft Word skills; general computer knowledge
Must be able to perform additional duties and tasks on an as needed basis

Job Qualifications include:

Minimum 3 years related experience
Full knowledge of drawings and specifications
Proficient in project management skills and construction industry systems
Excellent communication skills - written & oral
Excellent organizational skills
Knowledge of AutoCAD a plus

Required license or certification:
Valid Drivers License
    ",Salary based on experience,full-time
https://newyork.craigslist.org/brk/egr/6168111454.html,Drafter/Shop Drawings/Design Development 2D and 3D,"Brooklyn, NY","
        
-We are a high end Architectural Design and Fine Art fabrication workshop that produces exquisite fabrication in metal for leading architects as well as sculpture for museum caliber fine artists. The workshop is located in Brooklyn, NY and is equiped with state of the art machinery that includes a 5 axis CNC waterjet cutting machine.  We specialize in all metal finishes including custom in-house patinas, mirror polishing, the gamut of metal plating/coatings and specialty glass work.   Projects often reach beyond custom metal fabrication and include coordination with master millworkers and custom glass experts.  The team is comprised of artisans, artists and designers all with mastery level skillsets.

- We are looking for an energetic and talented drafter to create shop drawings in 3D and 2D. Position is in office and full-time. 

- Candidate must be a team player, take charge as well as direction, be a good listener.

- Must have experience in metal fabrication, design development skills and be an outside the box thinker.

-Position is fast paced and all projects are one of a kind. Must be able to produce drawings quickly and precisely while closely adhering to architectural design intent.

- All drawings are reviewed internally by our expert fabricators as well as the principals. Candidate must produce drawings that take method of assembly, fabrication and machining into account.

- Preferred drawing programs are Fusion, Inventor, Autocad, Rhino and Solidworks.

- Field measurements and field verification skills are a plus.
    ",commensurate with experience and skillset,full-time
https://newyork.craigslist.org/stn/egr/6167934544.html,Marine Construction Manager,Staten Island,"
        
Established general contractor seeking a construction manager with experience in waterfront construction projects (e.g., piers, bulkheads, dolphins, etc.) and marine transportation projects as well as general construction in the five boroughs.

Job Responsibilities:

Serve as project manager on waterfront, marine and general construction projects and programs;
Prepare estimates for bids on waterfront construction projects and NYC general  construction projects;
Manage projects and contracts, ensuring projects remain on schedule and within budget;
Ensure compliance with general conditions, contract for surveys, assessments, background research, feasibility studies and scope estimates on existing or proposed infrastructure projects;
Develop RFP based on drawings, specifications, quantity  take-offs and cost estimates for projects;
Coordinate inspections.


Job Qualifications include:

Minimum 5 years related experience
Proficient in program management skills
Knowledge of marine construction industry standards
Ability to read blue prints
Excellent communication skills - written and oral
Excellent organization skills
Knowledge of Excel and Microsoft Project
Knowledge of AutoCad a plus
Ability to coordinate project specific interagency issues such as permits, filings and approvals a plus

Required License and Certification: 

OSHA 10
PE license a plus
    ",TBD,full-time
https://newyork.craigslist.org/mnh/egr/6168142293.html,Construction Project Engineer,,"
        
Jay Shapiro & Associates, Inc. is looking for a full time ""Project Engineer"" candidate in the New York City area. 
The Project Engineer will be responsible for assisting our assigned Project Manager in the administration of an upcoming construction project. The responsibilities of a Project Engineer include: 
-	Monitoring the project cost and scheduling systems 
-	Performing estimating functions for project changes and addenda 
-	Supervising  the document and shop drawing control systems
-	Ensuring the smooth flow of information between the design team, consultants and contractors
The Project Engineer will also be asked to conduct on-site quality control inspections to ensure conformance to the project documents and to confirm quantities of Work completed.
The requirements of this position are as follows:
•	Plan and coordinate work on the project, manage unique problems in the schedule, construction or design.
•	Requires a broad knowledge of administrative practices and skill in coordination and interface between many parties and organizations.
•	Supervises preparation of construction drawings and schedules.
•	Coordinate with the Project Manager on activities affecting the contract administration operation.
•	Review and/or supervise, as assigned, the preparation of construction estimates, cost engineering studies, schedules and budgets.
•	Conduct periodic quality control inspections
•	Must have experience working with Microsoft Excel and Word
•	Primavera P6 experience required
•	Architecture, Engineering or Construction Management degree required
    ",Post requested,full-time
https://newyork.craigslist.org/wch/egr/6168147766.html,Junior Architect,Dobbs Ferry,"
        
Versatile junior architect interested in learning by helping us with a wild variety of projects from state of the art green building to state of the art historic preservation. You will get out to job sites, meet clients and be introduced to building science.  Interest in landscape and urban planning also welcome. Knowledge of, or urge to learn, Revit is a plus. Join a busy 14 person metro New York studio. Please reply with your resume, work samples and salary requirements. No phone calls please.
    ",Negotiable,full-time
https://newyork.craigslist.org/mnh/egr/6168957199.html,Freelance Junior Architect/Interior Designer for Design Set Drafting,West Village,"
        
We are a full service design studio specializing in interior design, specifically in the boutique hospitality and restaurant sector. We are looking for a part time candidate with a background in interior design drawing and drawing-set production.

MUST BE:

Self motivated
A problem solver
Organized
Able to take direction
Good with time management
Have attention to detail
Have a basic understanding of building construction
Have an understanding of furniture construction
Have 1-3 years experience in DD/CD set production
Must have excellent use of 2015 AutoCad or similar version
Have a degree related to architectural and/or interior design
3D Software is not required but is a plus
Based in or around the NYC area

RESPONSIBILITIES INCLUDE:

Putting together full interior design document sets
Updating drawings for various projects
Absorbing field notes into drawings
Working under the supervision of the architectural designer as a supporting staff member on DD/CD set production
The position is a freelance position, and is part time with the possibility to become full time. Salary based on experience.

PLEASE SUBMIT RESUME AND STRONG EXAMPLES OF WORK SHOWCASING LEVEL & EXPERIENCE.

www.robertmckinley.com    ",Based on experience,part-time
https://newyork.craigslist.org/brk/egr/6168250655.html,Drafter wanted for high-end metal design shop,Brooklyn,"
        
We are a high end Metal Design shop specializing in design and fabrication of commercial, residential and public sculpture works. We are looking for a drafter with potential to move up and grow in our company.

- We are looking for an energetic and talented drafter to create shop drawings. Position is in office and full-time. 

-Use of Rhino and AutoCad 2017 required.

- Candidate must be a team player, and work directly under Estimators regarding accuracy, design, and drafting standards.

- Must have minimum 1 year of experience in drafting.

-Position is fast paced and all projects are one of a kind. Must be able to produce drawings quickly and precisely while closely adhering to architectural design intent.

-Must live in NY and be a legal citizen.

-Must have good communication skills and work well with others.

-Email Resume and sample drawings to contact below. 

Please check out our website www.serett.com prior to emailing your resume and sample.


    ",$20 an hour,full-time
https://newyork.craigslist.org/jsy/egr/6168252599.html,Accident Reconstruction Expert,Tri-State Area,"
        
Growing forensic/consulting engineering firm needs an accident reconstruction expert to assist our large client base of law firms and insurance companies with respect to various assignments related to vehicular accidents, etc. 

Must have the requisite education and/or credentials.  A background in civil/transportation engineering or mechanical engineering is preferred, however, those professionals with many years of experience in the automotive industry and/or in law enforcement (such as police officers) are encouraged to submit their credentials.  

This opportunity is on a part-time basis as a consultant thereby allowing one to keep their current position.    ",to be determined,contract
